,sensor1,sensor2
0,51.0,48.67228469848633
1,51.03877551020408,48.68901210707061
2,51.077551020408166,48.7057395156549
3,51.11632653061225,48.72246692423918
4,51.155102040816324,48.73919433282346
5,51.19387755102041,48.75592174140775
6,51.23265306122449,48.77264914999203
7,51.27142857142857,48.78174749101911
8,51.310204081632655,48.782126897695115
9,51.34897959183674,48.78250630437112
10,51.38775510204081,48.782885711047115
11,51.426530612244896,48.78326511772312
12,51.46530612244898,48.783644524399115
13,51.50408163265306,48.78402393107512
14,51.542857142857144,48.803408922467916
15,51.58163265306123,48.8241514556262
16,51.6204081632653,48.84489398878448
17,51.659183673469386,48.86563652194276
18,51.69795918367347,48.886379055101045
19,51.73673469387755,48.90712158825933
20,51.775510204081634,48.904003516995175
21,51.81428571428572,48.86509453909738
22,51.85306122448979,48.82618556119958
23,51.891836734693875,48.787276583301775
24,51.93061224489796,48.74836760540398
25,51.96938775510204,48.70945862750618
26,52.0,48.670549649608375
27,52.0,48.683329033365055
28,52.0,48.70406047276088
29,52.0,48.72479191215671
30,52.0,48.745523351552535
31,52.0,48.766254790948366
32,52.0,48.78698623034419
33,52.0,48.796564740550764
34,52.0,48.78383739237883
35,52.0,48.77111004420689
36,52.0,48.75838269603496
37,52.0,48.74565534786302
38,52.0,48.732927999691086
39,52.0,48.72020065151915
40,52.0,48.74626195479412
41,52.0,48.78202042093082
42,52.0,48.81777888706752
43,52.0,48.85353735320422
44,52.0,48.889295819340916
45,52.0,48.925054285477614
46,52.0,48.94718002007932
47,52.0,48.931815742959785
48,52.0,48.91645146584025
49,52.0,48.90108718872071
50,52.0,48.885722911601164
51,52.0,48.870358634481626
52,52.0,48.85499435736209
53,52.0,48.87338370498346
54,52.0,48.90404709796517
55,52.0,48.93471049094687
56,52.0,48.96537388392857
57,52.0,48.99603727691028
58,52.0,49.02670066989198
59,52.0,49.04871746763891
60,52.0,49.03614788444675
61,52.0,49.02357830125459
62,52.0,49.01100871806243
63,52.0,48.99843913487026
64,52.0,48.9858695516781
65,52.0,48.97329996848594
66,52.0,48.981923909090014
67,52.0,49.0011446115922
68,52.0,49.02036531409439
69,52.0,49.03958601659658
70,52.0,49.058806719098776
71,52.0,49.078027421600964
72,52.0,49.092249375946665
73,52.0,49.07397946727519
74,52.0,49.055709558603716
75,52.0,49.03743964993224
76,52.0,49.01916974126076
77,52.0,49.00089983258929
78,52.0,48.98262992391781
79,52.0,48.9919805409957
80,52.0,49.019744841906494
81,52.0,49.04750914281728
82,52.0,49.07527344372808
83,52.0,49.103037744638875
84,52.0,49.130802045549665
85,52.0,49.15377535138811
86,52.0,49.109674726213726
87,52.0,49.06557410103934
88,52.0,49.02147347586496
89,52.0,48.97737285069057
90,52.0,48.933272225516184
91,52.0,48.8891716003418
92,52.0,48.86612629793128
93,52.0,48.861504402939154
94,52.0,48.85688250794703
95,52.0,48.8522606129549
96,52.0,48.847638717962774
97,52.0,48.84301682297065
98,52.0,48.83839492797852
99,52.0,48.79590418290119
100,52.0,48.753413437823866
101,52.0,48.710922692746536
102,52.0,48.66843194766921
103,52.0,48.62594120259188
104,52.0,48.58345045751456
105,52.0,48.56490990774973
106,52.0,48.573741009770615
107,52.0,48.5825721117915
108,52.0,48.591403213812384
109,52.0,48.60023431583327
110,52.0,48.60906541785416
111,52.0,48.617896519875046
112,52.0,48.59262891496931
113,52.0,48.56492568814025
114,52.0,48.53722246131119
115,52.0,48.50951923448213
116,52.0,48.481816007653066
117,52.0,48.454112780824005
118,52.0,48.455123340840245
119,52.0,48.499204581124445
120,52.0,48.543285821408645
121,52.0,48.587367061692845
122,52.0,48.631448301977045
123,52.0,48.675529542261245
124,52.0,48.719610782545445
125,52.0,48.721565122020486
126,52.0,48.71703839983259
127,52.0,48.71251167764469
128,52.0,48.707984955456794
129,52.0,48.70345823326889
130,52.0,48.69893151108099
131,52.0,48.79570006545709
132,52.0,49.09505917296118
133,52.0,49.39441828046527
134,52.0,49.693777387969355
135,52.0,49.993136495473436
136,52.0,50.29249560297752
137,52.0,50.591854710481606
138,52.0,50.561969819360854
139,52.0,50.44977392858389
140,52.0,50.33757803780692
141,52.0,50.22538214702996
142,52.0,50.113186256252995
143,52.0,50.00099036547603
144,52.0,49.92753644670759
145,52.0,49.960622950962616
146,52.0,49.99370945521764
147,52.0,50.026795959472665
148,52.0,50.05988246372768
149,52.0,50.092968967982706
150,52.0,50.12605547223773
151,52.0,50.1376038220464
152,52.0,50.14132011569277
153,52.0,50.145036409339134
154,52.0,50.1487527029855
155,52.0,50.15246899663186
156,52.0,50.15618529027823
157,52.0,50.164645650435475
158,52.0,50.19208227663625
159,52.0,50.21951890283702
160,52.0,50.24695552903779
161,52.0,50.274392155238566
162,52.0,50.30182878143933
163,52.0,50.32926540764011
164,52.0,50.14121040811344
165,52.0,49.845409595723055
166,52.0,49.549608783332665
167,52.0,49.253807970942276
168,52.0,48.958007158551894
169,52.0,48.662206346161504
170,52.0,48.4146174061055
171,52.0,48.48040563622299
172,52.0,48.54619386634048
173,52.0,48.61198209645797
174,52.0,48.677770326575455
175,52.0,48.743558556692946
176,52.0,48.80934678681044
177,52.0,48.83158382493623
178,52.0,48.82478673506757
179,52.0,48.81798964519891
180,52.0,48.811192555330244
181,52.0,48.80439546546158
182,52.0,48.79759837559292
183,52.0,48.78782146220305
184,52.0,48.73632701951631
185,52.0,48.684832576829564
186,52.0,48.63333813414282
187,52.0,48.58184369145608
188,52.0,48.53034924876933
189,52.0,48.47885480608259
190,52.0,48.44371629053233
191,52.0,48.42288921122648
192,52.0,48.402062131920644
193,52.0,48.3812350526148
194,52.0,48.36040797330895
195,52.0,48.33958089400311
196,52.0,48.31875381469727
197,52.0,48.344312792408225
198,52.0,48.36987177011918
199,52.0,48.39543074783014
200,52.0,48.4209897255411
201,52.0,48.44654870325205
202,52.0,48.472107680963006
203,52.0,48.481591142926895
204,52.0,48.47270258689413
205,52.0,48.463814030861364
206,52.0,48.454925474828606
207,52.0,48.44603691879584
208,52.0,48.437148362763075
209,52.0,48.42825980673031
210,52.0,48.38307189941406
211,52.0,48.33529118129185
212,52.0,48.287510463169646
213,52.0,48.23972974504744
214,52.0,48.19194902692523
215,52.0,48.14416830880302
216,52.0,48.12683279854911
217,52.0,48.15516510009766
218,52.0,48.183497401646214
219,52.0,48.21182970319476
220,52.0,48.24016200474331
221,52.0,48.268494306291856
222,52.0,48.29682660784041
223,52.0,48.272546939460604
224,52.0,48.240173121861055
225,52.0,48.207799304261506
226,52.0,48.17542548666195
227,52.0,48.1430516690624
228,52.0,48.11067785146285
229,52.0,48.082114605027805
230,52.0,48.06117250092176
231,52.0,48.040230396815716
232,52.0,48.01928829270967
233,52.0,47.99834618860362
234,52.0,47.97740408449758
235,52.0,47.95646198039153
236,52.0,47.96690910495058
237,52.0,47.98520353667591
238,52.0,48.003497968401234
239,52.0,48.021792400126564
240,52.0,48.04008683185189
241,52.0,48.05838126357721
242,52.0,48.06863789461097
243,52.0,48.05679057374293
244,52.0,48.04494325287488
245,52.0,48.03309593200684
246,52.0,48.021248611138795
247,52.0,48.009401290270745
248,52.0,47.9975539694027
249,52.0,47.99181078696737
250,52.0,47.988287291234855
251,52.0,47.98476379550233
252,52.0,47.98124029976981
253,52.0,47.977716804037286
254,52.0,47.97419330830477
255,52.0,47.97150282567861
256,52.0,47.97214439547792
257,52.0,47.972785965277225
258,52.0,47.97342753507653
259,52.0,47.97406910487584
260,52.0,47.974710674675144
261,52.0,47.97535224447445
262,52.0,47.97800984285316
263,52.0,47.98167545552157
264,52.0,47.985341068189975
265,52.0,47.989006680858374
266,52.0,47.99267229352678
267,52.0,47.99633790619519
268,52.0,48.001912642498404
269,52.0,48.01989668242785
270,52.0,48.0378807223573
271,52.0,48.05586476228675
272,52.0,48.0738488022162
273,52.0,48.09183284214565
274,52.0,48.1098168820751
275,52.0,48.13745060356296
276,52.0,48.171517446089766
277,52.0,48.20558428861657
278,52.0,48.239651131143376
279,52.0,48.27371797367018
280,52.0,48.307784816196985
281,52.0,48.34036835651008
282,52.0,48.35218566583127
283,52.0,48.36400297515246
284,52.0,48.375820284473654
285,52.0,48.38763759379484
286,52.0,48.39945490311603
287,52.0,48.41127221243722
